family,ym,sales,onpromotion,days_in_month,onpromotion_per_day,ym_dt,year,month,lag_1,lag_12,ma_3,ma_6,ma_12
AUTOMOTIVE,2014-08,9309.0,3,31,0.0967741935483871,2014-08-01,2014,8,9481.0,8164.0,9006.666666666666,8939.333333333334,8258.25
AUTOMOTIVE,2014-09,9229.0,6,30,0.2,2014-09-01,2014,9,9309.0,7029.0,9339.666666666666,8791.666666666666,8441.583333333334
AUTOMOTIVE,2014-10,9933.0,122,31,3.935483870967742,2014-10-01,2014,10,9229.0,6803.0,9490.333333333334,9042.833333333334,8702.416666666666
AUTOMOTIVE,2014-11,9452.0,69,30,2.3,2014-11-01,2014,11,9933.0,7166.0,9538.0,9272.333333333334,8892.916666666666
AUTOMOTIVE,2014-12,10709.0,132,31,4.258064516129032,2014-12-01,2014,12,9452.0,8411.0,10031.333333333334,9685.5,9084.416666666666
AUTOMOTIVE,2015-01,9103.0,36,31,1.1612903225806452,2015-01-01,2015,1,10709.0,8491.0,9754.666666666666,9622.5,9135.416666666666
AUTOMOTIVE,2015-02,9194.0,1,28,0.03571428571428571,2015-02-01,2015,2,9103.0,7563.0,9668.666666666666,9603.333333333334,9271.333333333334
AUTOMOTIVE,2015-03,11554.0,165,31,5.32258064516129,2015-03-01,2015,3,9194.0,10115.0,9950.333333333334,9990.833333333334,9391.25
AUTOMOTIVE,2015-04,9047.0,25,30,0.8333333333333334,2015-04-01,2015,4,11554.0,8426.0,9931.666666666666,9843.166666666666,9443.0
AUTOMOTIVE,2015-05,9329.0,18,31,0.5806451612903226,2015-05-01,2015,5,9047.0,8075.0,9976.666666666666,9822.666666666666,9547.5
AUTOMOTIVE,2015-06,9783.0,15,30,0.5,2015-06-01,2015,6,9329.0,8230.0,9386.333333333334,9668.333333333334,9676.916666666666
AUTOMOTIVE,2015-07,10555.0,10,31,0.3225806451612903,2015-07-01,2015,7,9783.0,9481.0,9889.0,9910.333333333334,9766.416666666666
AUTOMOTIVE,2015-08,11156.0,13,31,0.41935483870967744,2015-08-01,2015,8,10555.0,9309.0,10498.0,10237.333333333334,9920.333333333334
AUTOMOTIVE,2015-09,9699.0,16,30,0.5333333333333333,2015-09-01,2015,9,11156.0,9229.0,10470.0,9928.166666666666,9959.5
AUTOMOTIVE,2015-10,13483.0,25,31,0.8064516129032258,2015-10-01,2015,10,9699.0,9933.0,11446.0,10667.5,10255.333333333334
AUTOMOTIVE,2015-11,11777.0,61,30,2.033333333333333,2015-11-01,2015,11,13483.0,9452.0,11653.0,11075.5,10449.083333333334
AUTOMOTIVE,2015-12,12667.0,6,31,0.1935483870967742,2015-12-01,2015,12,11777.0,10709.0,12642.333333333334,11556.166666666666,10612.25
AUTOMOTIVE,2016-01,12119.0,24,31,0.7741935483870968,2016-01-01,2016,1,12667.0,9103.0,12187.666666666666,11816.833333333334,10863.583333333334
AUTOMOTIVE,2016-02,12185.0,4,29,0.13793103448275862,2016-02-01,2016,2,12119.0,9194.0,12323.666666666666,11988.333333333334,11112.833333333334
AUTOMOTIVE,2016-03,12058.0,12,31,0.3870967741935484,2016-03-01,2016,3,12185.0,11554.0,12120.666666666666,12381.5,11154.833333333334
AUTOMOTIVE,2016-04,11631.0,19,30,0.6333333333333333,2016-04-01,2016,4,12058.0,9047.0,11958.0,12072.833333333334,11370.166666666666
AUTOMOTIVE,2016-05,11839.0,285,31,9.193548387096774,2016-05-01,2016,5,11631.0,9329.0,11842.666666666666,12083.166666666666,11579.333333333334
AUTOMOTIVE,2016-06,9936.0,563,30,18.766666666666666,2016-06-01,2016,6,11839.0,9783.0,11135.333333333334,11628.0,11592.083333333334
AUTOMOTIVE,2016-07,11549.0,296,31,9.548387096774194,2016-07-01,2016,7,9936.0,10555.0,11108.0,11533.0,11674.916666666666
AUTOMOTIVE,2016-08,10792.0,8,31,0.25806451612903225,2016-08-01,2016,8,11549.0,11156.0,10759.0,11300.833333333334,11644.583333333334
AUTOMOTIVE,2016-09,9058.0,3,30,0.1,2016-09-01,2016,9,10792.0,9699.0,10466.333333333334,10800.833333333334,11591.166666666666
AUTOMOTIVE,2016-10,10728.0,48,31,1.5483870967741935,2016-10-01,2016,10,9058.0,13483.0,10192.666666666666,10650.333333333334,11361.583333333334
AUTOMOTIVE,2016-11,10778.0,143,30,4.766666666666667,2016-11-01,2016,11,10728.0,11777.0,10188.0,10473.5,11278.333333333334
AUTOMOTIVE,2016-12,12442.0,208,31,6.709677419354839,2016-12-01,2016,12,10778.0,12667.0,11316.0,10891.166666666666,11259.583333333334
AUTOMOTIVE,2017-01,11134.0,209,31,6.741935483870968,2017-01-01,2017,1,12442.0,12119.0,11451.333333333334,10822.0,11177.5
AUTOMOTIVE,2017-02,11936.0,535,28,19.107142857142858,2017-02-01,2017,2,11134.0,12185.0,11837.333333333334,11012.666666666666,11156.75
BABY CARE,2013-02,0.0,0,28,0.0,2013-02-01,2013,2,0.0,,0.0,0.0,0.0
BABY CARE,2013-03,0.0,0,31,0.0,2013-03-01,2013,3,0.0,,0.0,0.0,0.0
BABY CARE,2013-04,0.0,0,30,0.0,2013-04-01,2013,4,0.0,,0.0,0.0,0.0
BABY CARE,2013-05,0.0,0,31,0.0,2013-05-01,2013,5,0.0,,0.0,0.0,0.0
BABY CARE,2013-06,0.0,0,30,0.0,2013-06-01,2013,6,0.0,,0.0,0.0,0.0
BABY CARE,2013-07,0.0,0,31,0.0,2013-07-01,2013,7,0.0,,0.0,0.0,0.0
BABY CARE,2013-08,0.0,0,31,0.0,2013-08-01,2013,8,0.0,,0.0,0.0,0.0
BABY CARE,2013-09,0.0,0,30,0.0,2013-09-01,2013,9,0.0,,0.0,0.0,0.0
BABY CARE,2013-10,0.0,0,31,0.0,2013-10-01,2013,10,0.0,,0.0,0.0,0.0
BABY CARE,2013-11,0.0,0,30,0.0,2013-11-01,2013,11,0.0,,0.0,0.0,0.0
BABY CARE,2013-12,0.0,0,31,0.0,2013-12-01,2013,12,0.0,,0.0,0.0,0.0
BABY CARE,2014-01,0.0,0,31,0.0,2014-01-01,2014,1,0.0,0.0,0.0,0.0,0.0
BABY CARE,2014-02,0.0,0,28,0.0,2014-02-01,2014,2,0.0,0.0,0.0,0.0,0.0
BABY CARE,2014-03,72.0,0,31,0.0,2014-03-01,2014,3,0.0,0.0,24.0,12.0,6.0
BABY CARE,2014-04,0.0,0,30,0.0,2014-04-01,2014,4,72.0,0.0,24.0,12.0,6.0
BABY CARE,2014-05,0.0,0,31,0.0,2014-05-01,2014,5,0.0,0.0,24.0,12.0,6.0
BABY CARE,2014-06,0.0,0,30,0.0,2014-06-01,2014,6,0.0,0.0,0.0,12.0,6.0
BABY CARE,2014-07,163.0,0,31,0.0,2014-07-01,2014,7,0.0,0.0,54.333333333333336,39.166666666666664,19.583333333333332
BABY CARE,2014-08,0.0,0,31,0.0,2014-08-01,2014,8,163.0,0.0,54.333333333333336,39.166666666666664,19.583333333333332
BABY CARE,2014-09,160.0,0,30,0.0,2014-09-01,2014,9,0.0,0.0,107.66666666666667,53.833333333333336,32.916666666666664
BABY CARE,2014-10,50.0,0,31,0.0,2014-10-01,2014,10,160.0,0.0,70.0,62.166666666666664,37.083333333333336
BABY CARE,2014-11,5.0,0,30,0.0,2014-11-01,2014,11,50.0,0.0,71.66666666666667,63.0,37.5
BABY CARE,2014-12,169.0,0,31,0.0,2014-12-01,2014,12,5.0,0.0,74.66666666666667,91.16666666666667,51.583333333333336
BABY CARE,2015-01,0.0,0,31,0.0,2015-01-01,2015,1,169.0,0.0,58.0,64.0,51.583333333333336
BABY CARE,2015-02,0.0,0,28,0.0,2015-02-01,2015,2,0.0,0.0,56.333333333333336,64.0,51.583333333333336
BABY CARE,2015-03,0.0,0,31,0.0,2015-03-01,2015,3,0.0,72.0,0.0,37.333333333333336,45.583333333333336
BABY CARE,2015-04,0.0,0,30,0.0,2015-04-01,2015,4,0.0,0.0,0.0,29.0,45.583333333333336
BABY CARE,2015-05,0.0,0,31,0.0,2015-05-01,2015,5,0.0,0.0,0.0,28.166666666666668,45.583333333333336
BABY CARE,2015-06,207.0,0,30,0.0,2015-06-01,2015,6,0.0,0.0,69.0,34.5,62.833333333333336
BABY CARE,2015-07,301.0,0,31,0.0,2015-07-01,2015,7,207.0,163.0,169.33333333333334,84.66666666666667,74.33333333333333
BABY CARE,2015-08,417.0,0,31,0.0,2015-08-01,2015,8,301.0,0.0,308.3333333333333,154.16666666666666,109.08333333333333
BABY CARE,2015-09,359.0,1,30,0.03333333333333333,2015-09-01,2015,9,417.0,160.0,359.0,214.0,125.66666666666667
BABY CARE,2015-10,62.0,0,31,0.0,2015-10-01,2015,10,359.0,50.0,279.3333333333333,224.33333333333334,126.66666666666667
BABY CARE,2015-11,4.0,0,30,0.0,2015-11-01,2015,11,62.0,5.0,141.66666666666666,225.0,126.58333333333333
BABY CARE,2015-12,179.0,0,31,0.0,2015-12-01,2015,12,4.0,169.0,81.66666666666667,220.33333333333334,127.41666666666667
BABY CARE,2016-01,311.0,1,31,0.03225806451612903,2016-01-01,2016,1,179.0,0.0,164.66666666666666,222.0,153.33333333333334
BABY CARE,2016-02,418.0,1,29,0.034482758620689655,2016-02-01,2016,2,311.0,0.0,302.6666666666667,222.16666666666666,188.16666666666666
BABY CARE,2016-03,442.0,1,31,0.03225806451612903,2016-03-01,2016,3,418.0,0.0,390.3333333333333,236.0,225.0
BABY CARE,2016-04,365.0,1,30,0.03333333333333333,2016-04-01,2016,4,442.0,0.0,408.3333333333333,286.5,255.41666666666666
BABY CARE,2016-05,455.0,17,31,0.5483870967741935,2016-05-01,2016,5,365.0,0.0,420.6666666666667,361.6666666666667,293.3333333333333
BABY CARE,2016-06,436.0,0,30,0.0,2016-06-01,2016,6,455.0,207.0,418.6666666666667,404.5,312.4166666666667
BABY CARE,2016-07,381.0,0,31,0.0,2016-07-01,2016,7,436.0,301.0,424.0,416.1666666666667,319.0833333333333
BABY CARE,2016-08,457.0,2,31,0.06451612903225806,2016-08-01,2016,8,381.0,417.0,424.6666666666667,422.6666666666667,322.4166666666667
BABY CARE,2016-09,488.0,1,30,0.03333333333333333,2016-09-01,2016,9,457.0,359.0,442.0,430.3333333333333,333.1666666666667
BABY CARE,2016-10,476.0,21,31,0.6774193548387096,2016-10-01,2016,10,488.0,62.0,473.6666666666667,448.8333333333333,367.6666666666667
BABY CARE,2016-11,452.0,0,30,0.0,2016-11-01,2016,11,476.0,4.0,472.0,448.3333333333333,405.0
BABY CARE,2016-12,485.0,0,31,0.0,2016-12-01,2016,12,452.0,179.0,471.0,456.5,430.5
BABY CARE,2017-01,488.0,3,31,0.0967741935483871,2017-01-01,2017,1,485.0,311.0,475.0,474.3333333333333,445.25
BABY CARE,2017-02,441.0,1,28,0.03571428571428571,2017-02-01,2017,2,488.0,418.0,471.3333333333333,471.6666666666667,447.1666666666667
BEAUTY,2013-02,3747.0,0,28,0.0,2013-02-01,2013,2,4019.0,,3883.0,3883.0,3883.0
BEAUTY,2013-03,3901.0,0,31,0.0,2013-03-01,2013,3,3747.0,,3889.0,3889.0,3889.0
BEAUTY,2013-04,3670.0,0,30,0.0,2013-04-01,2013,4,3901.0,,3772.6666666666665,3834.25,3834.25
BEAUTY,2013-05,3716.0,0,31,0.0,2013-05-01,2013,5,3670.0,,3762.3333333333335,3810.6,3810.6
BEAUTY,2013-06,3842.0,0,30,0.0,2013-06-01,2013,6,3716.0,,3742.6666666666665,3815.8333333333335,3815.8333333333335
BEAUTY,2013-07,4780.0,0,31,0.0,2013-07-01,2013,7,3842.0,,4112.666666666667,3942.6666666666665,3953.5714285714284
BEAUTY,2013-08,4720.0,0,31,0.0,2013-08-01,2013,8,4780.0,,4447.333333333333,4104.833333333333,4049.375
BEAUTY,2013-09,3607.0,0,30,0.0,2013-09-01,2013,9,4720.0,,4369.0,4055.8333333333335,4000.222222222222
BEAUTY,2013-10,3753.0,0,31,0.0,2013-10-01,2013,10,3607.0,,4026.6666666666665,4069.6666666666665,3975.5
BEAUTY,2013-11,3446.0,0,30,0.0,2013-11-01,2013,11,3753.0,,3602.0,4024.6666666666665,3927.3636363636365
BEAUTY,2013-12,4171.0,0,31,0.0,2013-12-01,2013,12,3446.0,,3790.0,4079.5,3947.6666666666665
BEAUTY,2014-01,4133.0,0,31,0.0,2014-01-01,2014,1,4171.0,4019.0,3916.6666666666665,3971.6666666666665,3957.1666666666665
BEAUTY,2014-02,3578.0,0,28,0.0,2014-02-01,2014,2,4133.0,3747.0,3960.6666666666665,3781.3333333333335,3943.0833333333335
BEAUTY,2014-03,5166.0,0,31,0.0,2014-03-01,2014,3,3578.0,3901.0,4292.333333333333,4041.1666666666665,4048.5
BEAUTY,2014-04,3879.0,0,30,0.0,2014-04-01,2014,4,5166.0,3670.0,4207.666666666667,4062.1666666666665,4065.9166666666665
BEAUTY,2014-05,3622.0,1,31,0.03225806451612903,2014-05-01,2014,5,3879.0,3716.0,4222.333333333333,4091.5,4058.0833333333335
BEAUTY,2014-06,3545.0,7,30,0.23333333333333334,2014-06-01,2014,6,3622.0,3842.0,3682.0,3987.1666666666665,4033.3333333333335
BEAUTY,2014-07,4996.0,1,31,0.03225806451612903,2014-07-01,2014,7,3545.0,4780.0,4054.3333333333335,4131.0,4051.3333333333335
BEAUTY,2014-08,4975.0,2,31,0.06451612903225806,2014-08-01,2014,8,4996.0,4720.0,4505.333333333333,4363.833333333333,4072.5833333333335
BEAUTY,2014-09,4990.0,3,30,0.1,2014-09-01,2014,9,4975.0,3607.0,4987.0,4334.5,4187.833333333333
BEAUTY,2014-10,5041.0,2,31,0.06451612903225806,2014-10-01,2014,10,4990.0,3753.0,5002.0,4528.166666666667,4295.166666666667
BEAUTY,2014-11,5222.0,1,30,0.03333333333333333,2014-11-01,2014,11,5041.0,3446.0,5084.333333333333,4794.833333333333,4443.166666666667
BEAUTY,2014-12,6460.0,0,31,0.0,2014-12-01,2014,12,5222.0,4171.0,5574.333333333333,5280.666666666667,4633.916666666667
BEAUTY,2015-01,4160.0,42,31,1.3548387096774193,2015-01-01,2015,1,6460.0,4133.0,5280.666666666667,5141.333333333333,4636.166666666667
BEAUTY,2015-02,4377.0,272,28,9.714285714285714,2015-02-01,2015,2,4160.0,3578.0,4999.0,5041.666666666667,4702.75
BEAUTY,2015-03,4249.0,2,31,0.06451612903225806,2015-03-01,2015,3,4377.0,5166.0,4262.0,4918.166666666667,4626.333333333333
BEAUTY,2015-04,3998.0,7,30,0.23333333333333334,2015-04-01,2015,4,4249.0,3879.0,4208.0,4744.333333333333,4636.25
BEAUTY,2015-05,5042.0,6,31,0.1935483870967742,2015-05-01,2015,5,3998.0,3622.0,4429.666666666667,4714.333333333333,4754.583333333333
BEAUTY,2015-06,5680.0,307,30,10.233333333333333,2015-06-01,2015,6,5042.0,3545.0,4906.666666666667,4584.333333333333,4932.5
BEAUTY,2015-07,4905.0,13,31,0.41935483870967744,2015-07-01,2015,7,5680.0,4996.0,5209.0,4708.5,4924.916666666667
BEAUTY,2015-08,6416.0,7,31,0.22580645161290322,2015-08-01,2015,8,4905.0,4975.0,5667.0,5048.333333333333,5045.0
BEAUTY,2015-09,6338.0,32,30,1.0666666666666667,2015-09-01,2015,9,6416.0,4990.0,5886.333333333333,5396.5,5157.333333333333
BEAUTY,2015-10,7410.0,133,31,4.290322580645161,2015-10-01,2015,10,6338.0,5041.0,6721.333333333333,5965.166666666667,5354.75
BEAUTY,2015-11,7884.0,189,30,6.3,2015-11-01,2015,11,7410.0,5222.0,7210.666666666667,6438.833333333333,5576.583333333333
BEAUTY,2015-12,8266.0,279,31,9.0,2015-12-01,2015,12,7884.0,6460.0,7853.333333333333,6869.833333333333,5727.083333333333
BEAUTY,2016-01,7020.0,242,31,7.806451612903226,2016-01-01,2016,1,8266.0,4160.0,7723.333333333333,7222.333333333333,5965.416666666667
BEAUTY,2016-02,6702.0,1,29,0.034482758620689655,2016-02-01,2016,2,7020.0,4377.0,7329.333333333333,7270.0,6159.166666666667
BEAUTY,2016-03,7133.0,4,31,0.12903225806451613,2016-03-01,2016,3,6702.0,4249.0,6951.666666666667,7402.5,6399.5
BEAUTY,2016-04,8293.0,17,30,0.5666666666666667,2016-04-01,2016,4,7133.0,3998.0,7376.0,7549.666666666667,6757.416666666667
BEAUTY,2016-05,7460.0,378,31,12.193548387096774,2016-05-01,2016,5,8293.0,5042.0,7628.666666666667,7479.0,6958.916666666667
BEAUTY,2016-06,7232.0,523,30,17.433333333333334,2016-06-01,2016,6,7460.0,5680.0,7661.666666666667,7306.666666666667,7088.25
BEAUTY,2016-07,9043.0,1056,31,34.064516129032256,2016-07-01,2016,7,7232.0,4905.0,7911.666666666667,7643.833333333333,7433.083333333333
BEAUTY,2016-08,8774.0,259,31,8.35483870967742,2016-08-01,2016,8,9043.0,6416.0,8349.666666666666,7989.166666666667,7629.583333333333
BEAUTY,2016-09,8284.0,70,30,2.3333333333333335,2016-09-01,2016,9,8774.0,6338.0,8700.333333333334,8181.0,7791.75
BEAUTY,2016-10,9634.0,150,31,4.838709677419355,2016-10-01,2016,10,8284.0,7410.0,8897.333333333334,8404.5,7977.083333333333
BEAUTY,2016-11,10307.0,873,30,29.1,2016-11-01,2016,11,9634.0,7884.0,9408.333333333334,8879.0,8179.0
BEAUTY,2016-12,9596.0,637,31,20.548387096774192,2016-12-01,2016,12,10307.0,8266.0,9845.666666666666,9273.0,8289.833333333334
BEAUTY,2017-01,10272.0,1219,31,39.32258064516129,2017-01-01,2017,1,9596.0,7020.0,10058.333333333334,9477.833333333334,8560.833333333334
BEAUTY,2017-02,8118.0,970,28,34.642857142857146,2017-02-01,2017,2,10272.0,6702.0,9328.666666666666,9368.5,8678.833333333334
BEVERAGES,2013-02,1508254.0,0,28,0.0,2013-02-01,2013,2,1670653.0,,1589453.5,1589453.5,1589453.5
BEVERAGES,2013-03,1822220.0,0,31,0.0,2013-03-01,2013,3,1508254.0,,1667042.3333333333,1667042.3333333333,1667042.3333333333
BEVERAGES,2013-04,1743121.0,0,30,0.0,2013-04-01,2013,4,1822220.0,,1691198.3333333333,1686062.0,1686062.0
BEVERAGES,2013-05,1824123.0,0,31,0.0,2013-05-01,2013,5,1743121.0,,1796488.0,1713674.2,1713674.2
BEVERAGES,2013-06,1829106.0,0,30,0.0,2013-06-01,2013,6,1824123.0,,1798783.3333333333,1732912.8333333333,1732912.8333333333
BEVERAGES,2013-07,1664465.0,0,31,0.0,2013-07-01,2013,7,1829106.0,,1772564.6666666667,1731881.5,1723134.5714285714
BEVERAGES,2013-08,1810927.0,0,31,0.0,2013-08-01,2013,8,1664465.0,,1768166.0,1782327.0,1734108.625
BEVERAGES,2013-09,1908153.0,0,30,0.0,2013-09-01,2013,9,1810927.0,,1794515.0,1796649.1666666667,1753446.888888889
BEVERAGES,2013-10,1855355.0,0,31,0.0,2013-10-01,2013,10,1908153.0,,1858145.0,1815354.8333333333,1763637.7
BEVERAGES,2013-11,1895439.0,0,30,0.0,2013-11-01,2013,11,1855355.0,,1886315.6666666667,1827240.8333333333,1775619.6363636365
BEVERAGES,2013-12,2246064.0,0,31,0.0,2013-12-01,2013,12,1895439.0,,1998952.6666666667,1896733.8333333333,1814823.3333333333
BEVERAGES,2014-01,4145798.0,0,31,0.0,2014-01-01,2014,1,2246064.0,1670653.0,2762433.6666666665,2310289.3333333335,2021085.4166666667
BEVERAGES,2014-02,1916753.0,0,28,0.0,2014-02-01,2014,2,4145798.0,1508254.0,2769538.3333333335,2327927.0,2055127.0
BEVERAGES,2014-03,4430194.0,0,31,0.0,2014-03-01,2014,3,1916753.0,1822220.0,3497581.6666666665,2748267.1666666665,2272458.1666666665
BEVERAGES,2014-04,2113125.0,39,30,1.3,2014-04-01,2014,4,4430194.0,1743121.0,2820024.0,2791228.8333333335,2303291.8333333335
BEVERAGES,2014-05,2081778.0,474,31,15.290322580645162,2014-05-01,2014,5,2113125.0,1824123.0,2875032.3333333335,2822285.3333333335,2324763.0833333335
BEVERAGES,2014-06,2100878.0,1114,30,37.13333333333333,2014-06-01,2014,6,2081778.0,1829106.0,2098593.6666666665,2798087.6666666665,2347410.75
BEVERAGES,2014-07,4175817.0,2650,31,85.48387096774194,2014-07-01,2014,7,2100878.0,1664465.0,2786157.6666666665,2803090.8333333335,2556690.0833333335
BEVERAGES,2014-08,2109229.0,1466,31,47.29032258064516,2014-08-01,2014,8,4175817.0,1810927.0,2795308.0,2835170.1666666665,2581548.5833333335
BEVERAGES,2014-09,4304900.0,2972,30,99.06666666666666,2014-09-01,2014,9,2109229.0,1908153.0,3529982.0,2814287.8333333335,2781277.5
BEVERAGES,2014-10,4370286.0,2924,31,94.3225806451613,2014-10-01,2014,10,4304900.0,1855355.0,3594805.0,3190481.3333333335,2990855.0833333335
BEVERAGES,2014-11,4449114.0,3391,30,113.03333333333333,2014-11-01,2014,11,4370286.0,1895439.0,4374766.666666667,3585037.3333333335,3203661.3333333335
BEVERAGES,2014-12,4852560.0,6468,31,208.6451612903226,2014-12-01,2014,12,4449114.0,2246064.0,4557320.0,4043651.0,3420869.3333333335
BEVERAGES,2015-01,2397121.0,1686,31,54.38709677419355,2015-01-01,2015,1,4852560.0,4145798.0,3899598.3333333335,3747201.6666666665,3275146.25
BEVERAGES,2015-02,2169912.0,1239,28,44.25,2015-02-01,2015,2,2397121.0,1916753.0,3139864.3333333335,3757315.5,3296242.8333333335
BEVERAGES,2015-03,2320034.0,871,31,28.096774193548388,2015-03-01,2015,3,2169912.0,4430194.0,2295689.0,3426504.5,3120396.1666666665
BEVERAGES,2015-04,2307147.0,1941,30,64.7,2015-04-01,2015,4,2320034.0,2113125.0,2265697.6666666665,3082648.0,3136564.6666666665
BEVERAGES,2015-05,3534100.0,2834,31,91.41935483870968,2015-05-01,2015,5,2307147.0,2081778.0,2720427.0,2930145.6666666665,3257591.5
BEVERAGES,2015-06,4767226.0,5412,30,180.4,2015-06-01,2015,6,3534100.0,2100878.0,3536157.6666666665,2915923.3333333335,3479787.1666666665
BEVERAGES,2015-07,4719130.0,10031,31,323.5806451612903,2015-07-01,2015,7,4767226.0,4175817.0,4340152.0,3302924.8333333335,3525063.25
BEVERAGES,2015-08,4935188.0,8228,31,265.4193548387097,2015-08-01,2015,8,4719130.0,2109229.0,4807181.333333333,3763804.1666666665,3760559.8333333335
BEVERAGES,2015-09,5497255.0,17367,30,578.9,2015-09-01,2015,9,4935188.0,4304900.0,5050524.333333333,4293341.0,3859922.75
BEVERAGES,2015-10,5307322.0,10870,31,350.64516129032256,2015-10-01,2015,10,5497255.0,4370286.0,5246588.333333333,4793370.166666667,3938009.0833333335
BEVERAGES,2015-11,4994499.0,17851,30,595.0333333333333,2015-11-01,2015,11,5307322.0,4449114.0,5266358.666666667,5036770.0,3983457.8333333335
BEVERAGES,2015-12,5476961.0,17189,31,554.483870967742,2015-12-01,2015,12,4994499.0,4852560.0,5259594.0,5155059.166666667,4035491.25
BEVERAGES,2016-01,5307788.0,6032,31,194.58064516129033,2016-01-01,2016,1,5476961.0,2397121.0,5259749.333333333,5253168.833333333,4278046.833333333
BEVERAGES,2016-02,4730609.0,28098,29,968.8965517241379,2016-02-01,2016,2,5307788.0,2169912.0,5171786.0,5219072.333333333,4491438.25
BEVERAGES,2016-03,4967615.0,22072,31,712.0,2016-03-01,2016,3,4730609.0,2320034.0,5002004.0,5130799.0,4712070.0
BEVERAGES,2016-04,5694504.0,32605,30,1086.8333333333333,2016-04-01,2016,4,4967615.0,2307147.0,5130909.333333333,5195329.333333333,4994349.75
BEVERAGES,2016-05,5198351.0,47443,31,1530.4193548387098,2016-05-01,2016,5,5694504.0,3534100.0,5286823.333333333,5229304.666666667,5133037.333333333
BEVERAGES,2016-06,4463076.0,29267,30,975.5666666666667,2016-06-01,2016,6,5198351.0,4767226.0,5118643.666666667,5060323.833333333,5107691.5
BEVERAGES,2016-07,4837784.0,18497,31,596.6774193548387,2016-07-01,2016,7,4463076.0,4719130.0,4833070.333333333,4981989.833333333,5117579.333333333
BEVERAGES,2016-08,4864024.0,44013,31,1419.774193548387,2016-08-01,2016,8,4837784.0,4935188.0,4721628.0,5004225.666666667,5111649.0
BEVERAGES,2016-09,4827054.0,38122,30,1270.7333333333333,2016-09-01,2016,9,4864024.0,5497255.0,4842954.0,4980798.833333333,5055798.916666667
BEVERAGES,2016-10,5161401.0,35552,31,1146.8387096774193,2016-10-01,2016,10,4827054.0,5307322.0,4950826.333333333,4891948.333333333,5043638.833333333
BEVERAGES,2016-11,5628678.0,77189,30,2572.9666666666667,2016-11-01,2016,11,5161401.0,4994499.0,5205711.0,4963669.5,5096487.083333333
BEVERAGES,2016-12,6066803.0,98183,31,3167.1935483870966,2016-12-01,2016,12,5628678.0,5476961.0,5618960.666666667,5230957.333333333,5145640.583333333
BEVERAGES,2017-01,6150083.0,58556,31,1888.9032258064517,2017-01-01,2017,1,6066803.0,5307788.0,5948521.333333333,5449673.833333333,5215831.833333333
BEVERAGES,2017-02,5088308.0,26435,28,944.1071428571429,2017-02-01,2017,2,6150083.0,4730609.0,5768398.0,5487054.5,5245640.083333333
